# SB.API_SB - Archivo semilla del mantenimiento de Entidades Gubernamentales
# Fuente: ListaEntidadesGubernamentales.xlsx (listado oficial entregado con la prueba tecnica)
# Campos: Nombre|Categoria|PoderDelEstado|Sector
# Este archivo es la fuente de verdad legible. Al iniciar la API por primera vez se
# genera GovernmentEntities.txt con identificadores, estado y datos de auditoria.
Acuario Nacional|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Administración General del Parque Nacional Mirador Norte|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Archivo General de la Nación|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
Autoridad Nacional de Asuntos Marítimos|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Autoridad Portuaria Dominicana|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Obras Públicas y Comunicaciones
Biblioteca Nacional Pedro Henríquez Ureña|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Cultura
Centro de Atención Integral para la Discapacidad|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Centro de Desarrollo y Competitividad Industrial|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Centro de Operaciones de Emergencias|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Comisión de Fomento a la Tecnificación del Sistema Nacional de Riego|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Agricultura
Comisión Nacional de Defensa de la Competencia|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Comisión Nacional de Energía|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Energía y Minas
Comisión Presidencial de Apoyo al Desarrollo Barrial|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Social
Comisión Reguladora de Prácticas Desleales en el Comercio y Medidas de Salvaguardas|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Comité Ejecutor de Infraestructuras de Zonas Turísticas|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Turismo
Consejo de Coordinación de la Zona Especial de Desarrollo Fronterizo|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Industria, Comercio y MIPYMES
Consejo Dominicano de Pesca y Acuicultura|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Consejo Nacional de Competitividad|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Consejo Nacional de Discapacidad|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Consejo Nacional de Drogas|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Presidencia
Consejo Nacional de Fronteras|Órgano Colegiado|Poder Ejecutivo|Relaciones Exteriores
Consejo Nacional de Investigaciones Agropecuarias y Forestales|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Consejo Nacional de la Persona Envejeciente|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Salud
Consejo Nacional de Producción Pecuaria|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Agricultura
Consejo Nacional de Promoción y Apoyo a la Micro, Pequeña y Mediana Empresa|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Consejo Nacional de Seguridad Social|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Trabajo
Consejo Nacional de Zonas Francas de Exportación|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Consejo Nacional para el Cambio Climático y Mercado de Carbono|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Presidencia
Consejo Nacional para el VIH y el SIDA|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Consejo Nacional para la Niñez y la Adolescencia|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Consejo Nacional para la Reglamentación y Fomento de la Industria Lechera|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Agricultura
Consejo Provincial para la Administración de los Fondos Mineros Sánchez Ramírez|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Economía, Planificación y Desarrollo
Consultoría Jurídica del Poder Ejecutivo|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Contraloría General de la República|Ministerio|Poder Ejecutivo|Control Interno
Corporación de Fomento de la Industria Hotelera y Desarrollo del Turismo|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Turismo
Corporación del Acueducto y Alcantarillado de Boca Chica|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de la Romana|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de la Vega|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de Moca|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de Monseñor Nouel|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de Puerto Plata|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de Santiago|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación del Acueducto y Alcantarillado de Santo Domingo|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Corporación Estatal de Radio y Televisión|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
Cuerpo Especializado de Control de Combustibles|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Defensa
Departamento Aeroportuario|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Obras Públicas y Comunicaciones
Dirección de Asistencia Social y Alimentación Comunitaria|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Social
Dirección de Desarrollo Provincial|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Social
Dirección de Desarrollo Social Supérate|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Social
Dirección de Estrategia y Comunicación Gubernamental|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección de Infraestructura Escolar|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Dirección de Prensa del Presidente de la República|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección del Comisionado Nacional de Beisbol|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Deportes y Recreación
Dirección Ejecutiva del Sistema Nacional de Atención a Emergencias y Seguridad 9-1-1|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Aduanas|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Alianzas Público Privadas|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Presidencia
Dirección General de Bellas Artes|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Cultura
Dirección General de Bienes Nacionales|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Catastro Nacional|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Dirección General de Cine|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
